Source Name,Distance (kpc),lii,bii
4U 1636-536,6,332.91486611,-4.8179528
4U 1735-444,9.4,346.05205832,-6.9902403
Aql X-1,5.2,35.71840387,-4.14299741
Cyg X-1,2.38,71.33494419,3.06691885
Cyg X-2,13.4,87.3246867,-11.31447332
GRO J1655-40,3.7,344.98159564,2.45629181
GS 1354-645,0.7,,
GS 1826-238,7.5,9.27256488,-6.08806202
GX 339-4,10,338.93039845,-4.32142525
SAX J1808.4-3658,,355.38498236,-8.14821853
Serpens X-1,11.1,36.11624878,4.84383647
SWIFT J1753.5-0127,7.15,24.89767774,12.18598463
SWIFT J1910.2-0546,,29.90271928,-6.84411867
XTE J1650-500,2.6,336.71799516,-3.42734945
