Source Name    ,        obsid,           ra,          dec,          lii,          bii, start time mjd,   end time mjd,Dip Visible?
CYGNUS X-1     ,202760201,299.59,35.2016,71.335,3.0668,53323.920787,53324.139699,no
CYGNUS X-1     ,202760301,299.59,35.2016,71.335,3.0668,53329.905278,53330.124144,no
CYGNUS X-1     ,202760401,299.59,35.2016,71.335,3.0668,53335.889687,53336.135162,minor
CYGNUS X-1     ,202760501,299.59,35.2016,71.335,3.0668,53341.874225,53342.004028,minor
Cyg X-1        ,605610401,299.59,35.2016,71.335,3.0668,55167.155752,55167.537014,minor
Cyg X-1        ,745250701,299.59,35.2016,71.3349,3.0669,57541.912604,57543.482049,major
CYGNUS X-1     ,202401101,299.59,35.2016,71.335,3.06681,53284.035451,53284.246343,no
CYGNUS X-1     ,202401201,299.59,35.2016,71.335,3.06681,53286.029919,53286.241019,no
Cygnus X-1     ,500880201,299.59,35.2016,71.335,3.06681,54574.496273,54575.184213,major
Cygnus X-1     ,610000401,299.59,35.2016,71.335,3.06681,54967.981169,54968.269838,no
Cyg X-1        ,745250201,299.59,35.2016,71.3349,3.06692,57535.930486,57537.624931,major
Cyg X-1        ,745250501,299.59,35.2016,71.3349,3.06692,57537.924792,57539.600718,minor
Cyg X-1        ,745250601,299.59,35.2016,71.3349,3.06692,57539.916574,57541.599456,minor
